symbol,rank_date,filingDate,net_shares_90d,net_dollars_90d,buy_insider_count_90d,z_dollars,z_shares,z_count,signal_score,cs_rank,cs_percentile,group
HOG,2025-09-26,2025-09-26,2863.0,0.0,1.0,0.4955411357292322,0.3637575910366511,0.0,0.3337004405412044,22.0,0.3188405797101449,long
AERG,2025-09-26,2025-09-26,0.0,-15700.0,1.0,0.4253306500768253,0.004020809296432759,0.0,0.25560047097573846,23.0,0.3333333333333333,long
SUPN,2025-09-26,2025-09-26,1035.0,-38816.4,1.0,0.321953983163749,0.13406885997792978,0.0,0.20657927589604236,24.0,0.34782608695652173,long
BRK.A,2025-09-26,2025-09-26,-32.0,0.0,0.0,0.4955411357292322,0.0,-0.6744907594765952,0.09497745359456075,25.0,0.36231884057971014,long
NOTE,2025-09-26,2025-09-26,-40.0,-687.6,0.0,0.4924661847779841,-0.0010052023241081897,-0.6744907594765952,0.09303196279140104,26.0,0.37681159420289856,neutral
BYND,2025-09-26,2025-09-26,-492.0,-1407.12,0.0,0.4892484874125943,-0.057799133636220905,-0.6744907594765952,0.0854219512409559,27.0,0.391304347826087,neutral
PCTY,2025-09-26,2025-09-26,-126.0,-20918.52,0.0,0.40199340016683816,-0.011811127308271227,-0.6744907594765952,0.03766769952629718,28.0,0.4057971014492754,neutral
TREE,2025-09-26,2025-09-26,2426.0,-110809.6,1.0,0.0,0.30884841408224123,0.0,0.030884841408224124,29.0,0.42028985507246375,neutral
RSSS,2025-09-26,2025-09-26,-3653.0,-13369.98,0.0,0.4357505122284063,-0.4549797019494693,-0.6744907594765952,0.013605109299118276,30.0,0.43478260869565216,neutral
ENVX,2025-09-26,2025-09-26,-2217.0,-22857.27,0.0,0.393323299589857,-0.2745458847720493,-0.6744907594765952,0.006192163433730705,31.0,0.4492753623188406,neutral
RGEN,2025-09-26,2025-09-26,-412.0,-50132.16,0.0,0.27134984270985857,-0.04774711039513901,-0.6744907594765952,-0.044312033256577336,32.0,0.463768115942029,neutral
NEE,2025-09-26,2025-09-26,-846.0,-63365.4,0.0,0.21217072123502692,-0.1022793364780083,-0.6744907594765952,-0.08527272874976324,33.0,0.4782608695652174,neutral
RVMD,2025-09-26,2025-09-26,-1799.0,-79623.73999999999,0.0,0.13946333605655864,-0.22202406333739638,-0.6744907594765952,-0.140871632542783,34.0,0.4927536231884058,neutral
CRM,2025-09-26,2025-09-26,0.0,-180096.86189999996,1.0,-0.3098530132181213,0.004020809296432759,0.0,-0.1855097270012295,35.0,0.5072463768115942,neutral
SATL,2025-09-26,2025-09-26,-22692.0,-86229.59999999999,0.0,0.10992189409784471,-2.847235583036447,-0.6744907594765952,-0.42111764968791643,36.0,0.5217391304347826,neutral
HTH,2025-09-26,2025-09-26,87808.4755,-693046.71,1.0,-2.603767532353748,11.037181265421061,0.0,-0.45854239287014265,37.0,0.5362318840579711,neutral
NLCP,2025-09-26,2025-09-26,-12633.0,-177114.66,0.0,-0.29651659005171827,-1.5833193107609123,-0.6744907594765952,-0.5385891129501008,38.0,0.5507246376811594,neutral
COCO,2025-09-26,2025-09-26,-5400.0,-222681.0,0.0,-0.5002895111219535,-0.6744907594765952,-0.6744907594765952,-0.5699700104638101,39.0,0.5652173913043478,neutral
NGS,2025-09-26,2025-09-26,-7915.0,-225586.2065,0.0,-0.5132816104395032,-0.9905012401181074,-0.6744907594765952,-0.6093663181184912,40.0,0.5797101449275363,neutral
SITM,2025-09-26,2025-09-26,-901.0,-287419.0,0.0,-0.7897982003044705,-0.1091901024562521,-0.6744907594765952,-0.6871451582712861,41.0,0.5942028985507246,neutral
PHAT,2025-09-26,2025-09-26,41625.0,-564052.5,1.0,-2.026904721497152,5.234214151921857,0.0,-0.6927214177061053,42.0,0.6086956521739131,neutral
DASH,2025-09-26,2025-09-26,-625.0,-373150.00000000006,1.0,-1.1731877000157123,-0.07451062227451956,0.0,-0.7113636822368793,43.0,0.6231884057971014,neutral
SVV,2025-09-26,2025-09-26,0.0,-504085.7188,2.0,-1.75873294881794,0.004020809296432759,0.6744907594765952,-0.8524904605181423,44.0,0.6376811594202898,neutral
SNOW,2025-09-26,2025-09-26,-1658.0,-373472.79,0.0,-1.1746312186567145,-0.20430737237498953,-0.6744907594765952,-0.9275566962745062,45.0,0.6521739130434783,short
AMD,2025-09-26,2025-09-26,-2250.0,-371272.5,0.0,-1.1647915097728845,-0.2786923443589956,-0.6744907594765952,-0.9290913681426087,46.0,0.6666666666666666,short
RXRX,2025-09-26,2025-09-26,0.0,-476000.0,1.0,-1.6331334611208108,0.004020809296432759,0.0,-0.9794779957428432,47.0,0.6811594202898551,short
CNR,2025-09-26,2025-09-26,-5000.0,-411000.0,0.0,-1.3424531065089351,-0.6242306432711857,-0.6744907594765952,-1.0702421560754583,48.0,0.6956521739130435,short
LIF,2025-09-26,2025-09-26,-4546.0,-461509.92,0.0,-1.5683337443092036,-0.567185411378046,-0.6744907594765952,-1.2000660155663052,49.0,0.7101449275362319,short
DXPE,2025-09-26,2025-09-26,-4477.0,-536165.52,0.0,-1.9021939947978554,-0.5585155413326128,-0.6744907594765952,-1.3995151788549531,50.0,0.7246376811594203,short
GETY,2025-09-26,2025-09-26,-84720.0,-171981.6,0.0,-0.2735615177279639,-10.641071803009295,-0.6744907594765952,-1.4305913187806865,51.0,0.7391304347826086,short
PSTG,2025-09-26,2025-09-26,-7014.0,-602151.8999999999,0.0,-2.197285446150993,-0.8772903283654225,-0.6744907594765952,-1.6084475283701165,52.0,0.7536231884057971,short
MNMD,2025-09-26,2025-09-26,-44779.0,-437490.83,0.0,-1.4609202427914414,-5.622473549608645,-0.6744907594765952,-1.641146728478708,53.0,0.7681159420289855,short
WSM,2025-09-26,2025-09-26,-3500.0,-695765.0,0.0,-2.6159237400635624,-0.4357552075009002,-0.6744907594765952,-1.815476992631206,54.0,0.782608695652174,short
